,input,filtered,denoisedF,denoisedR,merged,nonchim,,,Bioinformatic Step,Sample (Totals),Female,,Male ,,,Bioinformatic Step,Sample (Totals),Female,,Male,
102,39555,31785,31628,31670,31312,17342,,,,,Before,After,Before,After,,,,Before,After,Before,After
107,19495,13455,13306,13288,13050,7749,,,Sum input ,908914,313968,269464,197858,127624,,Sum input,908914,313968,269464,197858,127624
112,35970,16105,15788,15899,15161,9040,,,Mean input ,37871,52328,44911,32976,21271,,Mean input,37871,52328,44911,32976,21271
117,37482,28155,27780,27879,27141,14269,,,Sum filtered ,626643,249881,213401,103055,60306,,Sum filtered,626643,249881,213401,103055,60306
162,10925,7703,7518,7550,7331,2698,,,Mean filtered ,26110,41647,35567,17176,10051,,Mean filtered,26110,41647,35567,17176,10051
167,53120,44008,43937,43967,43897,23342,,,Filtered % ,69,80,79,52,47,,Filtered %,69,80,79,52,47
172,3573,2537,2403,2332,2230,1408,,,Sum denoised ,620581,249049,212046,101214,58272,,Sum denoised,620581,249049,212046,101214,58272
177,34001,27731,27634,27633,27580,14868,,,Mean denoised ,25858,41508,35341,16869,9712,,Mean denoised,25858,41508,35341,16869,9712
242,53498,30040,29536,29703,28642,8895,,,Sum merged ,609123,246339,208853,98452,55479,,Sum merged,609123,246339,208853,98452,55479
247,63330,50334,50248,50085,49919,27052,,,Mean merged ,25380,41057,34809,16409,9247,,Mean merged,25380,41057,34809,16409,9247
252,22771,12216,11645,11935,10977,4028,,,Merged % ,67,78,78,50,43,,Merged %,67,78,78,50,43
257,37748,29173,29093,29087,28943,14275,,,Sum non-chimeric ,284053,116808,81276,44002,28486,,Sum non-chimeric,284053,116808,81276,44002,28486
262,63117,16806,16236,16411,15591,6959,,,Mean non-chimeric ,11836,19468,16255,7334,4748,,Mean non-chimeric,11836,19468,16255,7334,4748
267,71442,59212,59042,59058,58692,23723,,,Input non-chimeric % ,31,37,30,22,22,,Input non-chimeric %,31,37,30,22,22
272,30106,7888,7470,7607,6952,4115,,,,,,,,,,,,,,,
277,44545,36114,36028,36023,35763,13481,,,,,,,,,,,,,,,
322,20640,10211,9974,10065,9770,5387,,,,,,,,,,,,,,,
327,68696,52281,52123,52222,51508,26700,,,,,,,,,,,,,,,
332,21914,12341,12083,12140,11694,6511,,,,,,,,,,,,,,,
337,35888,27404,27173,27234,26912,13651,,,,,,,,,,,,,,,
362,10123,6510,6322,6245,5806,2721,,,,,,,,,,,,,,,
367,37885,30591,30393,30483,29273,8242,,,,,,,,,,,,,,,
372,13290,9219,8883,9039,8465,3384,,,,,,,,,,,,,,,
377,79800,64824,64338,64395,62514,24213,,,,,,,,,,,,,,,
Total,908914,626643,620581,621950,609123,284053,,,,,,,,,,,,,,,
Average,37871.41667,26110.125,25857.54167,25914.58333,25380.125,11835.54167,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Male Before ,input,filtered,denoisedF,denoisedR,merged,nonchim,,Male After,input,filtered,denoisedF,denoisedR,merged,nonchim,,,,,,,
102,39555,31785,31628,31670,31312,17342,,112,35970,16105,15788,15899,15161,9040,,,,,,,
162,10925,7703,7518,7550,7331,2698,,172,3573,2537,2403,2332,2230,1408,,,,,,,
242,53498,30040,29536,29703,28642,8895,,252,22771,12216,11645,11935,10977,4028,,,,,,,
262,63117,16806,16236,16411,15591,6959,,272,30106,7888,7470,7607,6952,4115,,,,,,,
322,20640,10211,9974,10065,9770,5387,,332,21914,12341,12083,12140,11694,6511,,,,,,,
362,10123,6510,6322,6245,5806,2721,,372,13290,9219,8883,9039,8465,3384,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Female Before,input,filtered,denoisedF,denoisedR,merged,nonchim,,Female After,input,filtered,denoisedF,denoisedR,merged,nonchim,,,,,,,
107,19495,13455,13306,13288,13050,7749,,117,37482,28155,27780,27879,27141,14269,,,,,,,
167,53120,44008,43937,43967,43897,23342,,177,34001,27731,27634,27633,27580,14868,,,,,,,
247,63330,50334,50248,50085,49919,27052,,257,37748,29173,29093,29087,28943,14275,,,,,,,
267,71442,59212,59042,59058,58692,23723,,277,44545,36114,36028,36023,35763,1348+O301,,,,,,,
327,68696,52281,52123,52222,51508,26700,,337,35888,27404,27173,27234,26912,13651,,,,,,,
367,37885,30591,30393,30483,29273,8242,,377,79800,64824,64338,64395,62514,24213,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,